time/total_timesteps,rollout/success_rate,rollout/ep_rew_mean,time/episodes,rollout/ep_len_mean,time/fps,time/time_elapsed,train/actor_loss,train/learning_rate,train/critic_loss,train/n_updates
904,1.0,0.62244689,904,1.0,51,17,-0.627311646938324,0.001,3.5356426906218985e-06,803
908,1.0,0.62805502,908,1.0,51,17,-0.6385000944137573,0.001,4.083710336999502e-06,807
912,1.0,0.62580612,912,1.0,51,17,-0.644781768321991,0.001,2.287158395120059e-06,811
916,1.0,0.62569995,916,1.0,51,17,-0.6274830102920532,0.001,2.935399834314012e-06,815
920,1.0,0.6167908,920,1.0,51,17,-0.6498351693153381,0.001,3.6672363421530463e-06,819
924,1.0,0.6126888,924,1.0,51,18,-0.6340901255607605,0.001,2.372236622250057e-06,823
928,1.0,0.60826899,928,1.0,50,18,-0.6137295961380005,0.001,2.753857188508846e-06,827
932,1.0,0.60930905,932,1.0,50,18,-0.6374577283859253,0.001,4.36916798207676e-06,831
936,1.0,0.6077038199999999,936,1.0,50,18,-0.6350774765014648,0.001,3.260084667999763e-06,835
940,1.0,0.6105681999999999,940,1.0,50,18,-0.6635304093360901,0.001,2.658883204276208e-06,839
944,1.0,0.61371734,944,1.0,50,18,-0.6534255743026733,0.001,3.09758843286545e-06,843
948,1.0,0.6188283099999999,948,1.0,50,18,-0.6357706785202026,0.001,2.6247332698403625e-06,847
952,1.0,0.6204024399999999,952,1.0,50,18,-0.6441768407821655,0.001,2.62851017396315e-06,851
956,1.0,0.62098972,956,1.0,50,18,-0.6389445662498474,0.001,2.101266090903664e-06,855
960,1.0,0.6255183499999999,960,1.0,50,18,-0.6293325424194336,0.001,2.8769586606358644e-06,859
964,1.0,0.6318758199999999,964,1.0,50,18,-0.6389896869659424,0.001,4.570308192342054e-06,863
968,1.0,0.63860036,968,1.0,50,19,-0.6524893045425415,0.001,2.2165963855513837e-06,867
972,1.0,0.6468736300000001,972,1.0,50,19,-0.6330180168151855,0.001,3.1420192954101367e-06,871
976,1.0,0.6523535199999999,976,1.0,50,19,-0.6464973092079163,0.001,3.1020540518511552e-06,875
980,1.0,0.65439603,980,1.0,50,19,-0.6522255539894104,0.001,3.6971714507672004e-06,879
984,1.0,0.6474312099999999,984,1.0,50,19,-0.6330826282501221,0.001,3.3923809041880304e-06,883
988,1.0,0.6491901099999999,988,1.0,50,19,-0.6587549448013306,0.001,2.643450443429174e-06,887
992,1.0,0.6556409800000002,992,1.0,50,19,-0.652136504650116,0.001,3.112681497441372e-06,891
996,1.0,0.6578793999999999,996,1.0,50,19,-0.6367127895355225,0.001,2.8827869300585007e-06,895
1000,1.0,0.6548155699999999,1000,1.0,50,19,-0.6541314721107483,0.001,2.211908395111095e-06,899
